order_id,order_date,customer_id,product_id,product_name,product_cost,quantity,selling_price,total_cost,total_sale,total_profit,campaign_id,order_month
O00098,2025-08-15,C0445,P028,Hair Growth Oil,729.97,1,1124.06,729.97,1124.06,394.09,Organic,2025-08
O00099,2025-03-13,C0253,P025,Scalp Detox Scrub,993.64,5,1765.1,4968.2,8825.5,3857.3,Organic,2025-03
O00100,2025-06-29,C0645,P014,Argan Oil Shampoo,1020.09,2,1782.36,2040.18,3564.72,1524.54,M02,2025-06
O00101,2025-05-08,C0584,P018,Weight-Lifting Shoes,749.33,1,1307.8,749.33,1307.8,558.47,Organic,2025-05
O00102,2025-12-04,C0618,P029,Tennis Outfit,1047.18,2,1805.86,2094.36,3611.72,1517.36,M04,2025-12
O00103,2025-07-20,C0112,P010,Plant-Based Protein,143.45,2,276.22,286.9,552.44,265.54,M02,2025-07
O00104,2025-05-04,C0146,P016,SPF 50 Sunscreen,1093.54,5,1568.83,5467.7,7844.15,2376.45,Organic,2025-05
O00105,2025-01-07,C0649,P012,Athliesure Wear,777.17,2,1118.83,1554.34,2237.66,683.32,M07,2025-01
O00106,2025-07-07,C0354,P018,Weight-Lifting Shoes,749.33,4,1307.8,2997.32,5231.2,2233.88,Organic,2025-07
O00107,2025-02-07,C0139,P001,Pre-Workout Formula,81.87,1,147.52,81.87,147.52,65.65,M01,2025-02
O00108,2025-01-31,C0816,P026,Tracksuit,581.63,5,851.7,2908.15,4258.5,1350.35,M07,2025-01
O00109,2025-08-05,C0824,P023,Daily Multivitamin,271.03,1,535.19,271.03,535.19,264.16,Organic,2025-08
O00110,2025-10-03,C0313,P020,Pre-Workout Formula,671.71,3,1257.35,2015.13,3772.05,1756.92,M02,2025-10
O00111,2025-09-19,C0417,P030,Vitamin C Serum,1052.65,2,1994.92,2105.3,3989.84,1884.54,M07,2025-09
O00112,2025-10-28,C0136,P021,Exfoliating Scrub,236.38,3,410.46,709.14,1231.38,522.24,Organic,2025-10
O00113,2025-05-03,C0501,P002,SPF 50 Sunscreen,190.04,1,365.12,190.04,365.12,175.08,Organic,2025-05
O00114,2025-03-01,C0113,P015,Anti-Aging Night Cream,732.53,3,1438.69,2197.59,4316.07,2118.48,Organic,2025-03
O00115,2025-12-03,C0360,P024,Resistance Bands,442.52,1,862.21,442.52,862.21,419.69,M03,2025-12
O00116,2025-12-26,C0336,P001,Pre-Workout Formula,81.87,4,147.52,327.48,590.08,262.6,Organic,2025-12
O00117,2025-09-25,C0531,P017,Gentle Facial Cleanser,1005.92,2,1746.32,2011.84,3492.64,1480.8,M05,2025-09
O00118,2025-03-02,C0061,P025,Scalp Detox Scrub,993.64,3,1765.1,2980.92,5295.3,2314.38,Organic,2025-03
O00119,2025-05-20,C0131,P017,Gentle Facial Cleanser,1005.92,3,1746.32,3017.76,5238.96,2221.2,Organic,2025-05
O00120,2025-10-23,C0158,P021,Exfoliating Scrub,236.38,4,410.46,945.52,1641.84,696.32,M06,2025-10
O00121,2025-01-29,C1161,P016,SPF 50 Sunscreen,1093.54,2,1568.83,2187.08,3137.66,950.58,M05,2025-01
O00122,2025-02-22,C1176,P029,Tennis Outfit,1047.18,1,1805.86,1047.18,1805.86,758.68,M01,2025-02
O00123,2025-01-23,C0026,P028,Hair Growth Oil,729.97,2,1124.06,1459.94,2248.12,788.18,M06,2025-01
O00124,2025-07-16,C0308,P030,Vitamin C Serum,1052.65,2,1994.92,2105.3,3989.84,1884.54,Organic,2025-07
O00125,2025-01-19,C0859,P018,Weight-Lifting Shoes,749.33,2,1307.8,1498.66,2615.6,1116.94,M07,2025-01
O00126,2025-06-13,C0160,P009,SPF 50 Sunscreen,332.29,5,509.1,1661.45,2545.5,884.05,M01,2025-06
O00127,2025-04-02,C1057,P008,Exfoliating Scrub,810.3,1,1426.46,810.3,1426.46,616.16,Organic,2025-04
O00128,2025-02-05,C0953,P029,Tennis Outfit,1047.18,3,1805.86,3141.54,5417.58,2276.04,Organic,2025-02
O00129,2025-06-09,C0177,P011,Pull-up Set,824.85,5,1247.08,4124.25,6235.4,2111.15,M06,2025-06
O00130,2025-04-13,C1155,P010,Plant-Based Protein,143.45,3,276.22,430.35,828.66,398.31,Organic,2025-04
O00131,2025-05-05,C0755,P015,Anti-Aging Night Cream,732.53,5,1438.69,3662.65,7193.45,3530.8,Organic,2025-05
O00132,2025-04-11,C1120,P024,Resistance Bands,442.52,2,862.21,885.04,1724.42,839.38,M07,2025-04
O00133,2025-01-13,C1110,P008,Exfoliating Scrub,810.3,3,1426.46,2430.9,4279.38,1848.48,Organic,2025-01
O00134,2025-12-22,C0020,P029,Tennis Outfit,1047.18,3,1805.86,3141.54,5417.58,2276.04,M07,2025-12
O00135,2025-06-07,C0421,P004,Daily Multivitamin,151.95,5,278.02,759.75,1390.1,630.35,Organic,2025-06
O00136,2025-08-03,C0123,P016,SPF 50 Sunscreen,1093.54,2,1568.83,2187.08,3137.66,950.58,Organic,2025-08
O00137,2025-02-17,C0475,P002,SPF 50 Sunscreen,190.04,5,365.12,950.2,1825.6,875.4,M06,2025-02
O00138,2025-08-23,C0174,P024,Resistance Bands,442.52,5,862.21,2212.6,4311.05,2098.45,M03,2025-08
O00139,2025-11-23,C0808,P027,Sweatband,196.1,1,371.46,196.1,371.46,175.36,M01,2025-11
O00140,2025-08-11,C0268,P022,Volumizing Spray,292.18,2,517.27,584.36,1034.54,450.18,M06,2025-08
O00141,2025-07-21,C0669,P023,Daily Multivitamin,271.03,3,535.19,813.09,1605.57,792.48,M04,2025-07
O00142,2025-02-08,C0279,P007,Benchpress Bench and Bar,821.09,5,1637.92,4105.45,8189.6,4084.15,M02,2025-02
O00143,2025-03-26,C0955,P015,Anti-Aging Night Cream,732.53,3,1438.69,2197.59,4316.07,2118.48,M06,2025-03
O00144,2025-04-17,C0632,P015,Anti-Aging Night Cream,732.53,4,1438.69,2930.12,5754.76,2824.64,M02,2025-04
O00145,2025-02-16,C0624,P006,Leave-In Hair Mist,529.14,5,897.09,2645.7,4485.45,1839.75,M06,2025-02
O00146,2025-03-17,C0509,P003,Anti-Frizz Serum,154.97,3,265.18,464.91,795.54,330.63,M01,2025-03
O00147,2025-12-13,C0533,P010,Plant-Based Protein,143.45,2,276.22,286.9,552.44,265.54,M07,2025-12
O00148,2025-08-20,C1127,P018,Weight-Lifting Shoes,749.33,2,1307.8,1498.66,2615.6,1116.94,M02,2025-08
O00149,2025-03-13,C0025,P004,Daily Multivitamin,151.95,1,278.02,151.95,278.02,126.07,Organic,2025-03
O00150,2025-04-24,C0406,P005,Hair Growth Oil,81.19,4,150.42,324.76,601.68,276.92,M02,2025-04
O00151,2025-10-26,C0531,P019,Grip Strength Tool,491.38,1,775.01,491.38,775.01,283.63,M02,2025-10
O00152,2025-04-12,C0909,P029,Tennis Outfit,1047.18,2,1805.86,2094.36,3611.72,1517.36,M06,2025-04
O00153,2025-03-04,C0945,P002,SPF 50 Sunscreen,190.04,1,365.12,190.04,365.12,175.08,M07,2025-03
O00154,2025-07-22,C0061,P016,SPF 50 Sunscreen,1093.54,4,1568.83,4374.16,6275.32,1901.16,Organic,2025-07
O00155,2025-03-30,C0440,P012,Athliesure Wear,777.17,2,1118.83,1554.34,2237.66,683.32,M08,2025-03
O00156,2025-03-18,C0504,P002,SPF 50 Sunscreen,190.04,3,365.12,570.12,1095.36,525.24,M08,2025-03
O00157,2025-02-01,C0573,P003,Anti-Frizz Serum,154.97,4,265.18,619.88,1060.72,440.84,M04,2025-02
O00158,2025-11-26,C1077,P029,Tennis Outfit,1047.18,2,1805.86,2094.36,3611.72,1517.36,Organic,2025-11
O00159,2025-10-06,C0040,P026,Tracksuit,581.63,4,851.7,2326.52,3406.8,1080.28,Organic,2025-10
O00160,2025-07-03,C1116,P016,SPF 50 Sunscreen,1093.54,4,1568.83,4374.16,6275.32,1901.16,M06,2025-07
O00161,2025-07-18,C0369,P009,SPF 50 Sunscreen,332.29,1,509.1,332.29,509.1,176.81,M04,2025-07
O00162,2025-01-16,C0576,P029,Tennis Outfit,1047.18,1,1805.86,1047.18,1805.86,758.68,Organic,2025-01
O00163,2025-08-30,C0733,P017,Gentle Facial Cleanser,1005.92,5,1746.32,5029.6,8731.6,3702.0,Organic,2025-08
O00164,2025-03-23,C0508,P004,Daily Multivitamin,151.95,2,278.02,303.9,556.04,252.14,M01,2025-03
O00165,2025-04-23,C0796,P019,Grip Strength Tool,491.38,3,775.01,1474.14,2325.03,850.89,Organic,2025-04
O00166,2025-03-30,C0485,P006,Leave-In Hair Mist,529.14,5,897.09,2645.7,4485.45,1839.75,M06,2025-03
O00167,2025-10-30,C0721,P001,Pre-Workout Formula,81.87,5,147.52,409.35,737.6,328.25,M04,2025-10
O00168,2025-09-10,C0633,P018,Weight-Lifting Shoes,749.33,2,1307.8,1498.66,2615.6,1116.94,M02,2025-09
O00169,2025-01-29,C0449,P008,Exfoliating Scrub,810.3,1,1426.46,810.3,1426.46,616.16,M01,2025-01
O00170,2025-06-19,C0413,P030,Vitamin C Serum,1052.65,2,1994.92,2105.3,3989.84,1884.54,M03,2025-06
O00171,2025-06-15,C0045,P002,SPF 50 Sunscreen,190.04,2,365.12,380.08,730.24,350.16,M03,2025-06
O00172,2025-02-26,C1078,P028,Hair Growth Oil,729.97,3,1124.06,2189.91,3372.18,1182.27,Organic,2025-02
O00173,2025-07-11,C0811,P023,Daily Multivitamin,271.03,5,535.19,1355.15,2675.95,1320.8,M05,2025-07
O00174,2025-06-15,C0323,P005,Hair Growth Oil,81.19,4,150.42,324.76,601.68,276.92,Organic,2025-06
O00175,2025-09-07,C0650,P021,Exfoliating Scrub,236.38,2,410.46,472.76,820.92,348.16,Organic,2025-09
O00176,2025-10-15,C0731,P023,Daily Multivitamin,271.03,2,535.19,542.06,1070.38,528.32,Organic,2025-10
O00177,2025-03-31,C0629,P013,Running Shoes,139.5,3,249.72,418.5,749.16,330.66,M01,2025-03
O00178,2025-12-26,C0802,P019,Grip Strength Tool,491.38,5,775.01,2456.9,3875.05,1418.15,M06,2025-12
O00179,2025-11-10,C1159,P008,Exfoliating Scrub,810.3,1,1426.46,810.3,1426.46,616.16,Organic,2025-11
O00180,2025-03-14,C0160,P011,Pull-up Set,824.85,2,1247.08,1649.7,2494.16,844.46,M06,2025-03
O00181,2025-03-27,C0182,P021,Exfoliating Scrub,236.38,3,410.46,709.14,1231.38,522.24,M05,2025-03
O00182,2025-04-18,C0139,P008,Exfoliating Scrub,810.3,3,1426.46,2430.9,4279.38,1848.48,M02,2025-04
O00183,2025-01-01,C0791,P002,SPF 50 Sunscreen,190.04,4,365.12,760.16,1460.48,700.32,Organic,2025-01
O00184,2025-03-27,C0848,P029,Tennis Outfit,1047.18,4,1805.86,4188.72,7223.44,3034.72,Organic,2025-03
O00185,2025-06-29,C0769,P018,Weight-Lifting Shoes,749.33,1,1307.8,749.33,1307.8,558.47,Organic,2025-06
O00186,2025-10-23,C0462,P021,Exfoliating Scrub,236.38,2,410.46,472.76,820.92,348.16,M01,2025-10
O00187,2025-05-31,C0653,P001,Pre-Workout Formula,81.87,3,147.52,245.61,442.56,196.95,Organic,2025-05
O00188,2025-02-07,C0349,P011,Pull-up Set,824.85,4,1247.08,3299.4,4988.32,1688.92,M02,2025-02
O00189,2025-10-08,C0191,P029,Tennis Outfit,1047.18,3,1805.86,3141.54,5417.58,2276.04,M08,2025-10
O00190,2025-12-27,C0884,P001,Pre-Workout Formula,81.87,2,147.52,163.74,295.04,131.3,Organic,2025-12
O00191,2025-08-11,C0110,P006,Leave-In Hair Mist,529.14,1,897.09,529.14,897.09,367.95,M04,2025-08
O00192,2025-07-29,C1135,P023,Daily Multivitamin,271.03,5,535.19,1355.15,2675.95,1320.8,M05,2025-07
O00193,2025-06-02,C0197,P008,Exfoliating Scrub,810.3,1,1426.46,810.3,1426.46,616.16,M08,2025-06
O00194,2025-03-20,C0739,P002,SPF 50 Sunscreen,190.04,1,365.12,190.04,365.12,175.08,M05,2025-03
O00195,2025-12-05,C0984,P021,Exfoliating Scrub,236.38,2,410.46,472.76,820.92,348.16,M04,2025-12
O00196,2025-03-29,C0598,P021,Exfoliating Scrub,236.38,1,410.46,236.38,410.46,174.08,M02,2025-03
O00197,2025-06-07,C0815,P026,Tracksuit,581.63,4,851.7,2326.52,3406.8,1080.28,M05,2025-06
O00198,2025-02-16,C1115,P021,Exfoliating Scrub,236.38,4,410.46,945.52,1641.84,696.32,M07,2025-02
O00199,2025-07-09,C0913,P006,Leave-In Hair Mist,529.14,1,897.09,529.14,897.09,367.95,M08,2025-07
O00200,2025-05-15,C0551,P008,Exfoliating Scrub,810.3,5,1426.46,4051.5,7132.3,3080.8,M02,2025-05
O00201,2025-02-13,C0705,P022,Volumizing Spray,292.18,5,517.27,1460.9,2586.35,1125.45,M04,2025-02
O00202,2025-10-11,C0793,P002,SPF 50 Sunscreen,190.04,5,365.12,950.2,1825.6,875.4,M08,2025-10
O00203,2025-10-21,C0483,P029,Tennis Outfit,1047.18,4,1805.86,4188.72,7223.44,3034.72,M07,2025-10
O00204,2025-01-18,C1170,P017,Gentle Facial Cleanser,1005.92,5,1746.32,5029.6,8731.6,3702.0,Organic,2025-01
O00205,2025-12-13,C0302,P020,Pre-Workout Formula,671.71,1,1257.35,671.71,1257.35,585.64,Organic,2025-12
O00206,2025-08-18,C0343,P006,Leave-In Hair Mist,529.14,2,897.09,1058.28,1794.18,735.9,Organic,2025-08
O00207,2025-03-06,C0868,P002,SPF 50 Sunscreen,190.04,1,365.12,190.04,365.12,175.08,Organic,2025-03
O00208,2025-08-11,C0303,P007,Benchpress Bench and Bar,821.09,5,1637.92,4105.45,8189.6,4084.15,M02,2025-08
O00209,2025-02-14,C1140,P013,Running Shoes,139.5,4,249.72,558.0,998.88,440.88,M05,2025-02
O00210,2025-09-24,C0026,P015,Anti-Aging Night Cream,732.53,5,1438.69,3662.65,7193.45,3530.8,M07,2025-09
O00211,2025-02-27,C0307,P014,Argan Oil Shampoo,1020.09,2,1782.36,2040.18,3564.72,1524.54,M02,2025-02
O00212,2025-02-24,C0207,P019,Grip Strength Tool,491.38,3,775.01,1474.14,2325.03,850.89,Organic,2025-02
O00213,2025-06-26,C0842,P029,Tennis Outfit,1047.18,3,1805.86,3141.54,5417.58,2276.04,M08,2025-06
O00214,2025-10-20,C0969,P020,Pre-Workout Formula,671.71,1,1257.35,671.71,1257.35,585.64,M07,2025-10
O00215,2025-03-15,C0823,P020,Pre-Workout Formula,671.71,1,1257.35,671.71,1257.35,585.64,M06,2025-03
O00216,2025-12-20,C0101,P008,Exfoliating Scrub,810.3,4,1426.46,3241.2,5705.84,2464.64,Organic,2025-12
O00217,2025-07-10,C0692,P001,Pre-Workout Formula,81.87,3,147.52,245.61,442.56,196.95,M08,2025-07
O00218,2025-12-23,C0202,P022,Volumizing Spray,292.18,2,517.27,584.36,1034.54,450.18,M08,2025-12
O00219,2025-06-14,C0854,P009,SPF 50 Sunscreen,332.29,5,509.1,1661.45,2545.5,884.05,Organic,2025-06
O00220,2025-04-07,C0433,P015,Anti-Aging Night Cream,732.53,4,1438.69,2930.12,5754.76,2824.64,Organic,2025-04
O00221,2025-09-22,C0766,P028,Hair Growth Oil,729.97,1,1124.06,729.97,1124.06,394.09,M03,2025-09
O00222,2025-02-03,C1038,P010,Plant-Based Protein,143.45,4,276.22,573.8,1104.88,531.08,M01,2025-02
O00223,2025-03-30,C0412,P007,Benchpress Bench and Bar,821.09,1,1637.92,821.09,1637.92,816.83,M08,2025-03
O00224,2025-01-26,C0739,P030,Vitamin C Serum,1052.65,2,1994.92,2105.3,3989.84,1884.54,M08,2025-01
O00225,2025-09-16,C0254,P013,Running Shoes,139.5,1,249.72,139.5,249.72,110.22,M08,2025-09
O00226,2025-11-01,C0364,P015,Anti-Aging Night Cream,732.53,4,1438.69,2930.12,5754.76,2824.64,M06,2025-11
