order_id,order_date,customer_id,product_id,quantity,unit_price,campaign_id
O00043,2025-02-13,C0291,P004,3,278.02,M08
O00044,2025-04-16,C0990,P017,3,1746.32,M08
O00045,2025-12-23,C0654,P015,1,1438.69,M02
O00046,2025-01-12,C0703,P028,1,1124.06,
O00047,2025-03-26,C0500,P030,5,1994.92,M03
O00048,2025-06-19,C0874,P018,4,1307.8,M07
O00049,2025-11-19,C0382,P006,4,897.09,M04
O00050,2025-08-19,C0880,P019,4,775.01,M04
O00051,2025-04-16,C0129,P009,5,509.1,M03
O00052,2025-07-07,C0404,P011,4,1247.08,M08
O00053,2025-09-28,C0642,P021,5,410.46,M07
O00054,2025-10-28,C0713,P004,3,278.02,
O00055,2025-11-13,C0610,P006,5,897.09,M03
O00056,2025-06-10,C0489,P004,3,278.02,M06
O00057,2025-12-22,C1047,P005,4,150.42,M03
O00058,2025-10-22,C0867,P013,2,249.72,M03
O00059,2025-10-12,C1003,P006,3,897.09,M06
O00060,2025-08-19,C0110,P020,3,1257.35,
O00061,2025-09-06,C0400,P005,4,150.42,
O00062,2025-09-16,C1014,P021,4,410.46,
O00063,2025-08-01,C0910,P023,4,535.19,M01
O00064,2025-04-23,C0067,P010,3,276.22,M05
O00065,2025-03-28,C0937,P025,5,1765.1,
O00066,2025-09-11,C1047,P018,1,1307.8,M05
O00067,2025-10-06,C0752,P027,5,371.46,
O00068,2025-01-22,C0904,P025,5,1765.1,M07
O00069,2025-02-22,C0507,P024,3,862.21,
O00070,2025-01-17,C0539,P015,3,1438.69,
O00071,2025-02-14,C0241,P015,2,1438.69,M06
O00072,2025-12-30,C0877,P020,2,1257.35,
O00073,2025-04-16,C0424,P027,1,371.46,M05
O00074,2025-11-02,C0345,P018,3,1307.8,
O00075,2025-05-30,C1173,P010,3,276.22,
O00076,2025-09-21,C0196,P029,2,1805.86,
O00077,2025-07-30,C0122,P030,3,1994.92,
O00078,2025-03-06,C0272,P023,2,535.19,M06
O00079,2025-05-07,C0805,P025,4,1765.1,M05
O00080,2025-11-18,C0769,P014,4,1782.36,M02
O00081,2025-07-26,C0570,P017,3,1746.32,M08
O00082,2025-06-17,C0006,P019,1,775.01,
O00083,2025-08-23,C0734,P021,1,410.46,
O00084,2025-07-23,C0880,P007,2,1637.92,M06
O00085,2025-05-26,C1121,P011,5,1247.08,M08
O00086,2025-06-25,C0100,P029,1,1805.86,M08
O00087,2025-01-09,C0324,P004,4,278.02,M07
O00088,2025-04-14,C0271,P023,3,535.19,M05
O00089,2025-02-17,C0739,P021,3,410.46,M03
O00090,2025-01-27,C0626,P013,2,249.72,M02
O00091,2025-12-27,C0003,P004,2,278.02,M03
O00092,2025-10-31,C1064,P008,4,1426.46,M06
O00093,2025-03-03,C0865,P028,2,1124.06,M04
O00094,2025-07-16,C0210,P003,1,265.18,M05
O00095,2025-03-12,C0273,P013,2,249.72,M01
O00096,2025-11-09,C0337,P021,4,410.46,M04
O00097,2025-11-18,C0311,P024,4,862.21,
O00098,2025-08-15,C0445,P028,1,1124.06,
O00099,2025-03-13,C0253,P025,5,1765.1,
O00100,2025-06-29,C0645,P014,2,1782.36,M02
O00101,2025-05-08,C0584,P018,1,1307.8,
O00102,2025-12-04,C0618,P029,2,1805.86,M04
O00103,2025-07-20,C0112,P010,2,276.22,M02
O00104,2025-05-04,C0146,P016,5,1568.83,
O00105,2025-01-07,C0649,P012,2,1118.83,M07
O00106,2025-07-07,C0354,P018,4,1307.8,
O00107,2025-02-07,C0139,P001,1,147.52,M01
O00108,2025-01-31,C0816,P026,5,851.7,M07
O00109,2025-08-05,C0824,P023,1,535.19,
O00110,2025-10-03,C0313,P020,3,1257.35,M02
O00111,2025-09-19,C0417,P030,2,1994.92,M07
O00112,2025-10-28,C0136,P021,3,410.46,
O00113,2025-05-03,C0501,P002,1,365.12,
O00114,2025-03-01,C0113,P015,3,1438.69,
O00115,2025-12-03,C0360,P024,1,862.21,M03
O00116,2025-12-26,C0336,P001,4,147.52,
O00117,2025-09-25,C0531,P017,2,1746.32,M05
O00118,2025-03-02,C0061,P025,3,1765.1,
O00119,2025-05-20,C0131,P017,3,1746.32,
O00120,2025-10-23,C0158,P021,4,410.46,M06
O00121,2025-01-29,C1161,P016,2,1568.83,M05
O00122,2025-02-22,C1176,P029,1,1805.86,M01
O00123,2025-01-23,C0026,P028,2,1124.06,M06
O00124,2025-07-16,C0308,P030,2,1994.92,
O00125,2025-01-19,C0859,P018,2,1307.8,M07
O00126,2025-06-13,C0160,P009,5,509.1,M01
O00127,2025-04-02,C1057,P008,1,1426.46,
O00128,2025-02-05,C0953,P029,3,1805.86,
O00129,2025-06-09,C0177,P011,5,1247.08,M06
O00130,2025-04-13,C1155,P010,3,276.22,
O00131,2025-05-05,C0755,P015,5,1438.69,
O00132,2025-04-11,C1120,P024,2,862.21,M07
O00133,2025-01-13,C1110,P008,3,1426.46,
O00134,2025-12-22,C0020,P029,3,1805.86,M07
O00135,2025-06-07,C0421,P004,5,278.02,
O00136,2025-08-03,C0123,P016,2,1568.83,
O00137,2025-02-17,C0475,P002,5,365.12,M06
O00138,2025-08-23,C0174,P024,5,862.21,M03
O00139,2025-11-23,C0808,P027,1,371.46,M01
O00140,2025-08-11,C0268,P022,2,517.27,M06
O00141,2025-07-21,C0669,P023,3,535.19,M04
O00142,2025-02-08,C0279,P007,5,1637.92,M02
O00143,2025-03-26,C0955,P015,3,1438.69,M06
O00144,2025-04-17,C0632,P015,4,1438.69,M02
O00145,2025-02-16,C0624,P006,5,897.09,M06
O00146,2025-03-17,C0509,P003,3,265.18,M01
O00147,2025-12-13,C0533,P010,2,276.22,M07
O00148,2025-08-20,C1127,P018,2,1307.8,M02
O00149,2025-03-13,C0025,P004,1,278.02,
O00150,2025-04-24,C0406,P005,4,150.42,M02
O00151,2025-10-26,C0531,P019,1,775.01,M02
O00152,2025-04-12,C0909,P029,2,1805.86,M06
O00153,2025-03-04,C0945,P002,1,365.12,M07
O00154,2025-07-22,C0061,P016,4,1568.83,
O00155,2025-03-30,C0440,P012,2,1118.83,M08
O00156,2025-03-18,C0504,P002,3,365.12,M08
O00157,2025-02-01,C0573,P003,4,265.18,M04
O00158,2025-11-26,C1077,P029,2,1805.86,
O00159,2025-10-06,C0040,P026,4,851.7,
O00160,2025-07-03,C1116,P016,4,1568.83,M06
O00161,2025-07-18,C0369,P009,1,509.1,M04
O00162,2025-01-16,C0576,P029,1,1805.86,
O00163,2025-08-30,C0733,P017,5,1746.32,
O00164,2025-03-23,C0508,P004,2,278.02,M01
O00165,2025-04-23,C0796,P019,3,775.01,
O00166,2025-03-30,C0485,P006,5,897.09,M06
O00167,2025-10-30,C0721,P001,5,147.52,M04
O00168,2025-09-10,C0633,P018,2,1307.8,M02
O00169,2025-01-29,C0449,P008,1,1426.46,M01
O00170,2025-06-19,C0413,P030,2,1994.92,M03
O00171,2025-06-15,C0045,P002,2,365.12,M03
O00172,2025-02-26,C1078,P028,3,1124.06,
O00173,2025-07-11,C0811,P023,5,535.19,M05
O00174,2025-06-15,C0323,P005,4,150.42,
O00175,2025-09-07,C0650,P021,2,410.46,
O00176,2025-10-15,C0731,P023,2,535.19,
O00177,2025-03-31,C0629,P013,3,249.72,M01
O00178,2025-12-26,C0802,P019,5,775.01,M06
O00179,2025-11-10,C1159,P008,1,1426.46,
O00180,2025-03-14,C0160,P011,2,1247.08,M06
O00181,2025-03-27,C0182,P021,3,410.46,M05
O00182,2025-04-18,C0139,P008,3,1426.46,M02
O00183,2025-01-01,C0791,P002,4,365.12,
O00184,2025-03-27,C0848,P029,4,1805.86,
O00185,2025-06-29,C0769,P018,1,1307.8,
O00186,2025-10-23,C0462,P021,2,410.46,M01
O00187,2025-05-31,C0653,P001,3,147.52,
O00188,2025-02-07,C0349,P011,4,1247.08,M02
O00189,2025-10-08,C0191,P029,3,1805.86,M08
O00190,2025-12-27,C0884,P001,2,147.52,
O00191,2025-08-11,C0110,P006,1,897.09,M04
O00192,2025-07-29,C1135,P023,5,535.19,M05
O00193,2025-06-02,C0197,P008,1,1426.46,M08
O00194,2025-03-20,C0739,P002,1,365.12,M05
O00195,2025-12-05,C0984,P021,2,410.46,M04
O00196,2025-03-29,C0598,P021,1,410.46,M02
O00197,2025-06-07,C0815,P026,4,851.7,M05
O00198,2025-02-16,C1115,P021,4,410.46,M07
O00199,2025-07-09,C0913,P006,1,897.09,M08
O00200,2025-05-15,C0551,P008,5,1426.46,M02
O00201,2025-02-13,C0705,P022,5,517.27,M04
O00202,2025-10-11,C0793,P002,5,365.12,M08
O00203,2025-10-21,C0483,P029,4,1805.86,M07
O00204,2025-01-18,C1170,P017,5,1746.32,
O00205,2025-12-13,C0302,P020,1,1257.35,
O00206,2025-08-18,C0343,P006,2,897.09,
O00207,2025-03-06,C0868,P002,1,365.12,
O00208,2025-08-11,C0303,P007,5,1637.92,M02
O00209,2025-02-14,C1140,P013,4,249.72,M05
O00210,2025-09-24,C0026,P015,5,1438.69,M07
O00211,2025-02-27,C0307,P014,2,1782.36,M02
O00212,2025-02-24,C0207,P019,3,775.01,
O00213,2025-06-26,C0842,P029,3,1805.86,M08
O00214,2025-10-20,C0969,P020,1,1257.35,M07
O00215,2025-03-15,C0823,P020,1,1257.35,M06
O00216,2025-12-20,C0101,P008,4,1426.46,
O00217,2025-07-10,C0692,P001,3,147.52,M08
O00218,2025-12-23,C0202,P022,2,517.27,M08
O00219,2025-06-14,C0854,P009,5,509.1,
O00220,2025-04-07,C0433,P015,4,1438.69,
O00221,2025-09-22,C0766,P028,1,1124.06,M03
O00222,2025-02-03,C1038,P010,4,276.22,M01
O00223,2025-03-30,C0412,P007,1,1637.92,M08
O00224,2025-01-26,C0739,P030,2,1994.92,M08
O00225,2025-09-16,C0254,P013,1,249.72,M08
O00226,2025-11-01,C0364,P015,4,1438.69,M06
O00227,2025-06-26,C0530,P006,1,897.09,M07
O00228,2025-01-26,C1172,P006,2,897.09,
O00229,2025-11-28,C0424,P008,3,1426.46,
O00230,2025-09-20,C0019,P001,4,147.52,
O00231,2025-11-28,C0018,P006,2,897.09,M05
O00232,2025-12-31,C0564,P023,4,535.19,
O00233,2025-06-28,C0517,P015,2,1438.69,M07
O00234,2025-10-27,C0016,P004,5,278.02,
O00235,2025-07-11,C0579,P018,3,1307.8,
O00236,2025-09-04,C0689,P003,3,265.18,
O00237,2025-05-22,C0612,P009,2,509.1,M04
O00238,2025-01-30,C0828,P026,3,851.7,
O00239,2025-01-14,C1019,P021,3,410.46,M07
O00240,2025-07-27,C0073,P013,5,249.72,
O00241,2025-10-20,C0389,P027,3,371.46,
O00242,2025-04-24,C1095,P022,4,517.27,
O00243,2025-12-10,C1039,P012,3,1118.83,
O00244,2025-12-03,C1144,P029,2,1805.86,M08
O00245,2025-03-07,C0530,P024,5,862.21,
O00246,2025-04-04,C0688,P022,1,517.27,M04
O00247,2025-06-07,C0679,P014,3,1782.36,M05
O00248,2025-08-26,C0242,P028,4,1124.06,M02
O00249,2025-08-30,C0399,P029,5,1805.86,M07
O00250,2025-09-29,C0847,P010,1,276.22,
O00251,2025-03-19,C0411,P005,3,150.42,M08
O00252,2025-03-15,C0370,P011,1,1247.08,M03
O00253,2025-06-10,C0119,P021,1,410.46,M04
O00254,2025-03-28,C0325,P019,4,775.01,
O00255,2025-02-15,C0889,P005,4,150.42,M08
O00256,2025-07-16,C0078,P001,5,147.52,M06
O00257,2025-01-08,C0660,P029,5,1805.86,M01
O00258,2025-11-17,C0510,P024,2,862.21,
O00259,2025-06-26,C0265,P010,1,276.22,M05
O00260,2025-03-27,C0094,P003,3,265.18,
O00261,2025-08-22,C1066,P024,5,862.21,M07
O00262,2025-12-18,C0702,P005,4,150.42,M04
O00263,2025-03-26,C0827,P030,1,1994.92,M03
O00264,2025-04-19,C0045,P024,5,862.21,M02
O00265,2025-07-07,C0077,P023,4,535.19,
O00266,2025-05-11,C1096,P025,5,1765.1,M01
O00267,2025-12-05,C0041,P004,1,278.02,
O00268,2025-08-02,C0779,P015,1,1438.69,M08
O00269,2025-12-26,C0421,P005,1,150.42,M02
O00270,2025-12-06,C0553,P017,5,1746.32,
O00271,2025-03-12,C0215,P014,5,1782.36,
O00272,2025-03-02,C0234,P010,1,276.22,M04
O00273,2025-05-15,C1072,P027,2,371.46,M07
O00274,2025-06-01,C0081,P006,5,897.09,M04
O00275,2025-12-19,C0985,P030,3,1994.92,M01
O00276,2025-12-10,C0227,P003,5,265.18,
O00277,2025-03-18,C1048,P003,1,265.18,
O00278,2025-02-21,C0525,P029,2,1805.86,M05
O00279,2025-05-16,C0103,P015,1,1438.69,
O00280,2025-01-21,C0596,P028,3,1124.06,
O00281,2025-06-10,C0238,P014,1,1782.36,
O00282,2025-01-24,C0284,P001,2,147.52,M08
O00283,2025-11-15,C0191,P009,3,509.1,
O00284,2025-04-04,C0821,P004,4,278.02,
O00285,2025-05-20,C0790,P027,4,371.46,
O00286,2025-11-29,C0342,P029,1,1805.86,M01
O00287,2025-03-23,C0853,P004,5,278.02,M08
O00288,2025-04-03,C0778,P020,3,1257.35,
O00289,2025-12-17,C0268,P029,4,1805.86,
O00290,2025-02-27,C0843,P029,4,1805.86,M05
O00291,2025-12-02,C0026,P011,5,1247.08,
O00292,2025-10-23,C1158,P024,2,862.21,
O00293,2025-12-09,C0693,P028,5,1124.06,M02
O00294,2025-08-10,C0510,P022,4,517.27,M07
O00295,2025-03-18,C1144,P027,5,371.46,M03
O00296,2025-09-16,C0962,P028,4,1124.06,
O00297,2025-02-08,C1007,P025,3,1765.1,M05
O00298,2025-01-26,C0457,P017,5,1746.32,
O00299,2025-07-26,C0482,P027,1,371.46,M08
O00300,2025-02-15,C1021,P028,4,1124.06,M08
O00301,2025-12-01,C0211,P001,4,147.52,M01
O00302,2025-02-16,C0624,P026,5,851.7,M08
O00303,2025-06-24,C0112,P012,2,1118.83,
O00304,2025-06-19,C0969,P018,3,1307.8,
O00305,2025-02-28,C0455,P004,1,278.02,M05
O00306,2025-10-08,C0766,P017,1,1746.32,M03
O00307,2025-09-10,C0839,P005,1,150.42,M04
O00308,2025-04-07,C0805,P004,2,278.02,M04
O00309,2025-06-23,C0849,P004,1,278.02,
O00310,2025-12-11,C0253,P019,4,775.01,M03
O00311,2025-09-13,C1087,P001,1,147.52,M07
O00312,2025-10-27,C1042,P016,2,1568.83,
O00313,2025-03-30,C0263,P024,1,862.21,M06
O00314,2025-09-16,C0788,P029,4,1805.86,
O00315,2025-12-21,C0509,P025,3,1765.1,M06
O00316,2025-05-31,C0274,P015,2,1438.69,M05
O00317,2025-12-26,C0643,P018,5,1307.8,
O00318,2025-04-13,C0596,P007,3,1637.92,
O00319,2025-03-09,C0365,P023,5,535.19,M06
O00320,2025-12-30,C0722,P004,5,278.02,M07
O00321,2025-12-12,C1094,P024,3,862.21,
O00322,2025-08-05,C0027,P026,5,851.7,M07
O00323,2025-03-16,C0116,P002,2,365.12,M03
O00324,2025-05-27,C0514,P022,2,517.27,
O00325,2025-12-20,C0605,P026,2,851.7,
O00326,2025-01-17,C0927,P012,1,1118.83,
O00327,2025-12-12,C1151,P024,2,862.21,
O00328,2025-10-15,C0487,P013,5,249.72,
O00329,2025-12-23,C0097,P010,4,276.22,M06
O00330,2025-10-10,C0027,P002,3,365.12,M08
O00331,2025-04-26,C0754,P030,5,1994.92,M04
O00332,2025-04-10,C0920,P010,2,276.22,
O00333,2025-02-08,C0356,P006,5,897.09,M01
O00334,2025-08-08,C1140,P009,3,509.1,M05
O00335,2025-01-03,C0956,P011,2,1247.08,M06
O00336,2025-11-02,C0617,P002,4,365.12,
O00337,2025-10-09,C0150,P012,3,1118.83,M03
O00338,2025-09-24,C1035,P003,2,265.18,M07
O00339,2025-02-17,C0454,P012,2,1118.83,
O00340,2025-06-19,C0602,P012,2,1118.83,
O00341,2025-11-13,C0973,P017,5,1746.32,
O00342,2025-11-29,C0235,P001,3,147.52,M04
O00343,2025-01-21,C0658,P022,4,517.27,
O00344,2025-02-28,C0526,P013,5,249.72,
O00345,2025-01-13,C1059,P030,3,1994.92,M08
O00346,2025-09-07,C0608,P002,2,365.12,M02
O00347,2025-02-19,C1102,P006,5,897.09,M02
O00348,2025-04-18,C0437,P022,4,517.27,
O00349,2025-04-16,C0892,P018,1,1307.8,
O00350,2025-03-20,C0941,P001,3,147.52,M02
O00351,2025-01-28,C0516,P006,5,897.09,M04
O00352,2025-05-13,C0795,P014,4,1782.36,
O00353,2025-08-10,C0035,P011,4,1247.08,
O00354,2025-10-01,C0130,P001,5,147.52,M02
O00355,2025-07-03,C1030,P030,1,1994.92,M05
O00356,2025-11-07,C0577,P003,4,265.18,M01
O00357,2025-08-31,C1093,P006,2,897.09,M07
O00358,2025-10-07,C0296,P010,3,276.22,
O00359,2025-11-28,C0023,P012,5,1118.83,
O00360,2025-03-14,C0086,P004,1,278.02,M07
O00361,2025-10-03,C0175,P018,3,1307.8,M06
O00362,2025-04-19,C1050,P014,2,1782.36,M04
O00363,2025-11-12,C0518,P027,2,371.46,M01
O00364,2025-10-09,C1126,P015,1,1438.69,M02
O00365,2025-05-09,C0405,P004,5,278.02,M06
O00366,2025-07-02,C0481,P005,1,150.42,M02
O00367,2025-04-10,C0996,P011,4,1247.08,M05
O00368,2025-12-22,C0313,P019,5,775.01,M06
O00369,2025-08-08,C0010,P006,3,897.09,M04
O00370,2025-12-31,C0894,P024,3,862.21,
O00371,2025-03-10,C0680,P022,4,517.27,M06
O00372,2025-06-06,C1130,P016,1,1568.83,M02
O00373,2025-05-24,C0287,P028,5,1124.06,M02
O00374,2025-02-08,C0039,P029,5,1805.86,
O00375,2025-10-25,C0830,P019,5,775.01,M01
O00376,2025-10-10,C1114,P009,5,509.1,M03
O00377,2025-07-07,C0458,P013,5,249.72,
O00378,2025-05-29,C0952,P005,5,150.42,M07
O00379,2025-07-06,C0022,P017,2,1746.32,
O00380,2025-11-11,C0340,P022,5,517.27,M03
O00381,2025-04-02,C1159,P019,2,775.01,
O00382,2025-09-05,C0083,P012,2,1118.83,
O00383,2025-04-29,C0542,P003,3,265.18,M04
O00384,2025-09-23,C0740,P030,4,1994.92,M08
O00385,2025-01-24,C0664,P002,1,365.12,
O00386,2025-09-24,C0561,P021,3,410.46,M03
O00387,2025-07-12,C0776,P021,3,410.46,M02
O00388,2025-09-22,C0771,P009,2,509.1,M06
O00389,2025-06-26,C0988,P016,5,1568.83,M03
O00390,2025-08-14,C0472,P006,1,897.09,M05
O00391,2025-04-19,C0383,P005,2,150.42,M02
O00392,2025-12-05,C0850,P008,3,1426.46,
O00393,2025-09-04,C0981,P022,4,517.27,M03
O00394,2025-11-28,C0842,P027,1,371.46,M03
O00395,2025-10-21,C0330,P019,2,775.01,
O00396,2025-01-21,C1173,P029,2,1805.86,M05
O00397,2025-04-03,C0831,P017,5,1746.32,
O00398,2025-11-23,C0581,P001,1,147.52,M08
O00399,2025-09-04,C0450,P006,4,897.09,
O00400,2025-10-26,C0373,P027,5,371.46,
O00401,2025-05-16,C0702,P006,4,897.09,M02
O00402,2025-04-28,C0790,P013,2,249.72,M04
O00403,2025-09-25,C1033,P028,4,1124.06,
O00404,2025-11-07,C0364,P004,4,278.02,
O00405,2025-11-04,C1089,P002,5,365.12,
O00406,2025-02-17,C0267,P016,5,1568.83,M01
O00407,2025-12-14,C0884,P021,5,410.46,M01
O00408,2025-12-24,C0879,P017,2,1746.32,
O00409,2025-09-04,C0781,P026,3,851.7,M02
O00410,2025-08-06,C0522,P005,4,150.42,
O00411,2025-02-12,C1114,P010,4,276.22,M01
O00412,2025-12-30,C0015,P024,5,862.21,M01
O00413,2025-07-12,C0421,P021,3,410.46,M02
O00414,2025-03-21,C1199,P014,3,1782.36,M07
O00415,2025-10-17,C0565,P012,4,1118.83,
O00416,2025-07-31,C1142,P018,4,1307.8,M08
O00417,2025-05-10,C1184,P010,3,276.22,
O00418,2025-07-23,C0283,P024,1,862.21,
O00419,2025-08-17,C0332,P026,1,851.7,M07
O00420,2025-06-23,C1128,P026,5,851.7,
O00421,2025-12-28,C0330,P002,4,365.12,
O00422,2025-01-03,C0187,P026,2,851.7,M07
O00423,2025-02-15,C0539,P003,2,265.18,M01
O00424,2025-07-16,C0821,P030,5,1994.92,
O00425,2025-05-27,C0118,P023,2,535.19,
O00426,2025-08-13,C0414,P001,5,147.52,M01
O00427,2025-11-03,C1057,P017,2,1746.32,
O00428,2025-12-12,C0737,P002,2,365.12,
O00429,2025-03-22,C0566,P003,4,265.18,M07
O00430,2025-07-27,C0411,P019,5,775.01,M02
O00431,2025-02-16,C0583,P018,5,1307.8,
O00432,2025-06-28,C0567,P012,2,1118.83,
O00433,2025-04-10,C0828,P015,5,1438.69,M03
O00434,2025-07-28,C0219,P017,5,1746.32,M05
O00435,2025-06-24,C1052,P004,3,278.02,
O00436,2025-10-22,C0907,P009,4,509.1,M04
O00437,2025-06-23,C0940,P025,4,1765.1,
O00438,2025-01-15,C0239,P016,3,1568.83,M04
O00439,2025-12-13,C0471,P023,3,535.19,M06
O00440,2025-09-22,C0020,P018,3,1307.8,M02
O00441,2025-07-24,C0701,P022,1,517.27,M03
O00442,2025-09-01,C0725,P011,2,1247.08,
O00443,2025-05-18,C0390,P006,4,897.09,
O00444,2025-05-01,C0496,P024,3,862.21,M04
O00445,2025-05-08,C0730,P027,2,371.46,
O00446,2025-03-03,C0161,P030,4,1994.92,
O00447,2025-10-05,C0988,P002,3,365.12,
O00448,2025-09-10,C1177,P029,3,1805.86,M05
O00449,2025-07-23,C1182,P008,2,1426.46,M07
O00450,2025-09-02,C0067,P018,5,1307.8,M03
O00451,2025-08-23,C1062,P004,4,278.02,M01
O00452,2025-01-07,C0432,P022,4,517.27,M06
O00453,2025-07-05,C0532,P020,2,1257.35,M04
O00454,2025-05-18,C0703,P016,3,1568.83,M07
O00455,2025-04-18,C0763,P014,3,1782.36,
O00456,2025-05-24,C0369,P015,5,1438.69,M04
O00457,2025-02-21,C0553,P024,2,862.21,M07
O00458,2025-04-11,C0307,P005,4,150.42,
O00459,2025-04-01,C1024,P014,2,1782.36,
O00460,2025-11-19,C1094,P017,3,1746.32,
O00461,2025-06-03,C1152,P009,5,509.1,M02
O00462,2025-12-20,C0123,P006,2,897.09,
O00463,2025-09-01,C0198,P027,4,371.46,
O00464,2025-05-14,C0738,P012,5,1118.83,M05
O00465,2025-06-26,C0844,P001,1,147.52,M04
O00466,2025-10-23,C1103,P019,2,775.01,
O00467,2025-05-26,C0666,P012,5,1118.83,M08
O00468,2025-02-10,C0587,P013,4,249.72,
O00469,2025-03-16,C0344,P028,3,1124.06,M07
O00470,2025-02-06,C0332,P003,3,265.18,M06
O00471,2025-12-01,C0548,P010,5,276.22,
O00472,2025-05-19,C0912,P029,3,1805.86,
O00473,2025-09-24,C0848,P015,2,1438.69,M01
O00474,2025-03-06,C0481,P024,3,862.21,
O00475,2025-12-25,C0164,P024,2,862.21,M02
O00476,2025-02-18,C0970,P003,5,265.18,M07
O00477,2025-09-26,C0171,P025,1,1765.1,M03
O00478,2025-02-13,C0799,P021,3,410.46,M05
O00479,2025-08-15,C0259,P021,2,410.46,M03
O00480,2025-01-15,C0731,P002,3,365.12,
O00481,2025-08-28,C1108,P028,3,1124.06,M03
O00482,2025-12-24,C0363,P018,5,1307.8,M07
O00483,2025-09-26,C1094,P021,3,410.46,
O00484,2025-09-04,C0466,P018,1,1307.8,M06
O00485,2025-07-31,C0319,P009,3,509.1,M03
O00486,2025-06-26,C0961,P010,5,276.22,M08
O00487,2025-09-02,C0019,P010,4,276.22,
O00488,2025-11-02,C0015,P008,5,1426.46,M07
O00489,2025-10-15,C0809,P014,2,1782.36,M07
O00490,2025-07-13,C0539,P008,1,1426.46,M04
O00491,2025-09-22,C0557,P025,3,1765.1,
O00492,2025-09-30,C0551,P026,4,851.7,M02
O00493,2025-04-04,C0594,P005,1,150.42,
O00494,2025-11-13,C0558,P015,5,1438.69,M06
O00495,2025-01-10,C0102,P005,5,150.42,M02
O00496,2025-05-25,C0257,P009,4,509.1,
O00497,2025-04-30,C0309,P003,1,265.18,M06
O00498,2025-08-04,C1021,P010,3,276.22,M01
O00499,2025-06-19,C0300,P003,1,265.18,M07
O00500,2025-02-06,C0963,P018,2,1307.8,M05
O00501,2025-07-15,C0026,P027,1,371.46,
O00502,2025-05-08,C0908,P013,2,249.72,
O00503,2025-01-18,C0944,P007,1,1637.92,M04
O00504,2025-08-31,C0640,P013,3,249.72,M01
O00505,2025-10-09,C0251,P017,3,1746.32,M05
O00506,2025-04-12,C0107,P012,2,1118.83,
O00507,2025-05-01,C0890,P021,3,410.46,M05
O00508,2025-10-27,C0811,P004,2,278.02,M01
O00509,2025-10-25,C0974,P026,5,851.7,M02
O00510,2025-05-08,C1024,P006,1,897.09,
O00511,2025-06-23,C0123,P030,1,1994.92,M03
O00512,2025-12-26,C0220,P018,2,1307.8,M06
O00513,2025-10-13,C0712,P026,4,851.7,
O00514,2025-01-11,C0774,P023,3,535.19,
O00515,2025-05-09,C0081,P029,4,1805.86,
O00516,2025-10-14,C1112,P010,4,276.22,M03
O00517,2025-10-06,C0663,P012,4,1118.83,M03
O00518,2025-02-05,C0318,P017,4,1746.32,M05
O00519,2025-10-05,C0930,P012,1,1118.83,
O00520,2025-09-17,C0380,P013,1,249.72,
O00521,2025-07-06,C0490,P025,3,1765.1,
O00522,2025-12-04,C0794,P018,2,1307.8,M08
